,Номенклатура,КлассТовара
360,05ee7b02-971c-11e0-9b31-00155d030b07,Средне продаваемый
361,05ee7b03-971c-11e0-9b31-00155d030b07,Средне продаваемый
362,05ee7b04-971c-11e0-9b31-00155d030b07,Средне продаваемый
363,05ee8bbe-d1b5-11df-8afe-001517c526f0,Наименее продаваемый
364,05ee8bc1-d1b5-11df-8afe-001517c526f0,Наименее продаваемый
365,0603d1c0-e2d5-11de-9339-00151716f9f5,Средне продаваемый
366,0603d1c3-e2d5-11de-9339-00151716f9f5,Наименее продаваемый
367,0603d1c8-e2d5-11de-9339-00151716f9f5,Наименее продаваемый
368,0603d1ca-e2d5-11de-9339-00151716f9f5,Наименее продаваемый
369,060eca47-7517-11e0-9f9f-001517c526f0,Средне продаваемый
370,062dc066-510e-11dc-9c07-00151716f9f5,Средне продаваемый
371,062dc067-510e-11dc-9c07-00151716f9f5,Средне продаваемый
372,0633bb80-0a0f-11df-a185-00151716f9f5,Средне продаваемый
373,064150b1-3ac7-11df-b74e-001517c526f1,Наименее продаваемый
374,064150b2-3ac7-11df-b74e-001517c526f1,Наименее продаваемый
375,064150b3-3ac7-11df-b74e-001517c526f1,Наименее продаваемый
376,064150b6-3ac7-11df-b74e-001517c526f1,Наименее продаваемый
377,064150b8-3ac7-11df-b74e-001517c526f1,Наименее продаваемый
378,064150b9-3ac7-11df-b74e-001517c526f1,Наименее продаваемый
379,064150ba-3ac7-11df-b74e-001517c526f1,Средне продаваемый
